sample_id,origin,path,sha256,size_bytes,format,label,serializer,container_chain,Inner_pickle_path,repo_id,used_in_RQ
2-2-C-00001,Craft Benign,data/craft_benign/2-2-C-00001.pkl,7cd721025a0348186f0d37f3fc5f20482032eab7317c10e3b7d518b55016323c,70,pkl,F,pickle,raw,,,2
2-2-C-00002,Craft Benign,data/craft_benign/2-2-C-00002.pkl,452ad138b12cf39c6796103e63aed33b252e0f9a1e66d1f133e91f6edc04905f,71,pkl,F,pickle,raw,,,2
2-2-C-00003,Craft Benign,data/craft_benign/2-2-C-00003.pkl,87286a8d4aadacebb84a1594b1672dbab1685bccdde82842a9d00d777cf00f50,63,pkl,F,pickle,raw,,,2
2-2-C-00004,Craft Benign,data/craft_benign/2-2-C-00004.pkl,9018a982d69c5297ca35c5d65351a1db7c28b8bf72ec47a562cf9733b42e270f,65,pkl,F,pickle,raw,,,2
2-2-C-00005,Craft Benign,data/craft_benign/2-2-C-00005.pkl,9956e74ba8cbcff37bae1425aef58f209e4cf434733e0eed31e07875bcd680c2,60,pkl,F,pickle,raw,,,2
2-2-C-00006,Craft Benign,data/craft_benign/2-2-C-00006.pkl,2cefe9030bef9d19bfd04771df5c039854e1e86884e96fce365a2340f0e32ec3,188,pkl,F,pickle,raw,,,2
2-2-C-00007,Craft Benign,data/craft_benign/2-2-C-00007.pkl,0c21710c42752ecabf478496ee0e2df0710257269cf182e0bfeea68a917aff85,356,pkl,F,pickle,raw,,,2
2-2-C-00008,Craft Benign,data/craft_benign/2-2-C-00008.pkl,16d29737ae1a5eb6d2854d5db1d3c74d878875cc5262ed331172d02300facc33,531,pkl,F,pickle,raw,,,2
2-2-C-00009,Craft Benign,data/craft_benign/2-2-C-00009.pkl,b1abef969f171821e32747a4a55f36b7f1fc15d10103131d32a1c2648f2e4006,100,pkl,F,pickle,raw,,,2
2-2-C-00010,Craft Benign,data/craft_benign/2-2-C-00010.pkl,d3f2bc5410bb1d26e3108e9ef6bc611d090475e470b44676b9c8ee33ca60b9d6,136,pkl,F,pickle,raw,,,2
2-2-C-00011,Craft Benign,data/craft_benign/2-2-C-00011.pkl,38b33a1fc24a66920dfd778a92e8d7bf9d6907d7afb4e0f66ecf1621a48516db,184,pkl,F,pickle,raw,,,2
2-2-C-00012,Craft Benign,data/craft_benign/2-2-C-00012.pkl,34435e0f51adac71b23e492a14c276dc7d5f99737137e7b5ffc9d0788c237e74,95,pkl,F,pickle,raw,,,2
2-2-C-00013,Craft Benign,data/craft_benign/2-2-C-00013.pkl,090674f1b8fa2b2d1a47c2e6717ac0903d3b32dd369b4157f7e0e800f411e646,113,pkl,F,pickle,raw,,,2
2-2-C-00014,Craft Benign,data/craft_benign/2-2-C-00014.pkl,1a717094f22372e390d04b6161d08fc14a7c3448cd374ff3e47e8ef95e52e93f,131,pkl,F,pickle,raw,,,2
2-2-C-00015,Craft Benign,data/craft_benign/2-2-C-00015.pkl,82f9e2e1d937b3aa9219270f5c78f92a0a4188a892006ec91a154f1a05e72b31,102,pkl,F,pickle,raw,,,2
2-2-C-00016,Craft Benign,data/craft_benign/2-2-C-00016.pkl,f1d19a73532bde243ed9297819cb72c12f216274bdfe2e6f741b13d602722b8b,105,pkl,F,pickle,raw,,,2
2-2-C-00017,Craft Benign,data/craft_benign/2-2-C-00017.pkl,c1ec0ef3ec5c453141bcd758c3db8987386630f74ffcb874be39392222e2407e,98,pkl,F,pickle,raw,,,2
2-2-C-00018,Craft Benign,data/craft_benign/2-2-C-00018.pkl,857aa6abd5ebb818146bb558e87bd470d643e23eff2c75d43ca54c56417bf938,98,pkl,F,pickle,raw,,,2
2-2-C-00019,Craft Benign,data/craft_benign/2-2-C-00019.pt,31c93067926229e64209d9ac7d4be5cf48190f4e08bad1da5232368044ff9af9,1957,pt,F,pickle,zip,,,2
2-2-C-00020,Craft Benign,data/craft_benign/2-2-C-00020.bin,c2d58acb674142860aac145d0234253f6d16c786b23de4bac2a6e5c50b32212d,1957,bin,F,pickle,zip,,,2
2-2-C-00021,Craft Benign,data/craft_benign/2-2-C-00021.pkl,4bccbfe2e1159ed2624422bb364ea7ac3a8e33bfbbbf02c24246c6ad040809b6,80,pkl,F,pickle,raw,,,2
2-2-C-00022,Craft Benign,data/craft_benign/2-2-C-00022.pkl,7b9cc03547306a3aced774d298a20878bfc9a6b98b892b3c172fe3ffc4ac2707,90,pkl,F,pickle,raw,,,2
2-2-C-00023,Craft Benign,data/craft_benign/2-2-C-00023.pkl,935fee572e1d35eb4d5d2f9d2fc80b9b8deabeb63923169afeb91c12842c8d11,114,pkl,F,pickle,raw,,,2
2-2-C-00024,Craft Benign,data/craft_benign/2-2-C-00024.pkl,7ee8daea16e216d4667c9ab66009fcf2cf40b6a694d0bf1733236aca00b55aba,68,pkl,F,pickle,raw,,,2
2-2-C-00025,Craft Benign,data/craft_benign/2-2-C-00025.pkl,87c702bb5249636b85f95a6e8c94e72760f0e86b76802fc1fcfee09f94e48488,68,pkl,F,pickle,raw,,,2
2-2-C-00026,Craft Benign,data/craft_benign/2-2-C-00026.pkl,fa0cd040ef73d2fe9f51c5b587c1ff355d0a28f9230e847c82f7a529fb3639a9,67,pkl,F,pickle,raw,,,2
2-2-C-00027,Craft Benign,data/craft_benign/2-2-C-00027.pkl,a97fba51552bb980ccd15e8ae3c740cf163c288267b8b6e5d7a1387238290a9b,68,pkl,F,dill,raw,,,2
2-2-C-00028,Craft Benign,data/craft_benign/2-2-C-00028.pkl,1e89f8a34066b2bdce31fdba203d19286e73b4a0f5d13d6758a4f61229d5f749,82,pkl,F,dill,raw,,,2
2-2-C-00029,Craft Benign,data/craft_benign/2-2-C-00029.pkl,a4320265f08130eb3ae30da33e30e43da7228db83a6efcb8c60adb06c423e1a9,84,pkl,F,dill,raw,,,2
2-2-C-00030,Craft Benign,data/craft_benign/2-2-C-00030.pkl,5b386f81751201d0dc1426f009d1f244f80780edd6fe73eaf7020e653ad3506a,79,pkl,F,pickle,raw,,,2
2-2-C-00031,Craft Benign,data/craft_benign/2-2-C-00031.pkl,901a50dc4b6916cfe1b19d00e8af29cfebb11b24fc585982c50b41778d6b4ce4,91,pkl,F,pickle,raw,,,2
